Квартира,Корпус,Этаж,Комнат,Планировка,"Площадь, м²","Цена за м², руб.","Цена, руб.","Цена продажи, руб.","Скидка, руб.",Менеджер,Дата сделки,Дата обращения,Дней в работе,Вид
М-ГП2-А-089,ГП2,14,2,ТС1ЛК2,59.86,"50,488","3,022,211",,,,,,,окна в окна
М-ГП2-А-090,ГП2,14,1,СКЛ1,35.97,"63,598","2,287,611","2,287,611",,Лиана,7/29/2022,7/14/2022,15,окна в окна
М-ГП2-А-091,ГП2,14,3,ТСС123ЛК,95.71,"52,080","4,984,561","4,984,561",,Иван,7/14/2022,7/6/2022,8,на ЖК
М-ГП2-А-092,ГП2,14,1,1СТЛ,30.45,"61,539","1,873,862",,,,,,,окна в окна
М-ГП2-А-093,ГП2,14,2,СКЛ12,54.86,"50,488","2,769,771","2,769,771",,Саша,6/24/2022,6/16/2022,8,окна в окна
М-ГП2-А-094,ГП2,14,1,1ЛКС,38.21,"80,420","3,072,857","2,922,857","150,000",Иван,6/5/2022,5/22/2022,14,на дорогу
М-ГП2-А-095,ГП2,15,2,12ЛКС,55.33,"75,732","4,190,250",,,,,,,на дорогу
М-ГП2-А-096,ГП2,15,2,ТС1ЛК2,59.86,"60,586","3,626,653","3,476,653","150,000",Филипп,7/31/2022,6/21/2022,40,окна в окна
М-ГП2-А-097,ГП2,15,1,СКЛ1,35.97,"69,958","2,516,372","2,516,372",,Иван,8/1/2022,7/14/2022,18,окна в окна
М-ГП2-А-098,ГП2,15,3,ТСС123ЛК,95.71,"57,288","5,483,017",,,,,,,на ЖК
М-ГП2-А-099,ГП2,15,1,1СТЛ,30.45,"67,693","2,061,248",,,,,,,окна в окна
М-ГП2-А-100,ГП2,15,2,СКЛ12,54.86,"55,537","3,046,748",,,,,,,окна в окна
М-ГП2-А-101,ГП2,15,1,1ЛКС,38.21,"88,462","3,380,143","3,230,143","150,000",Миша,7/19/2022,5/31/2022,49,на дорогу
М-ГП2-А-102,ГП2,16,2,12ЛКС,55.33,"83,305","4,609,275",,,,,,,на дорогу
М-ГП2-А-103,ГП2,16,2,ТС1ЛК2,59.86,"66,644","3,989,318",,,,,,,окна в окна
М-ГП2-А-104,ГП2,16,1,СКЛ1,35.97,"76,953","2,768,009","2,768,009",,Саша,8/3/2022,7/10/2022,24,окна в окна
М-ГП2-А-105,ГП2,16,3,ТСС123ЛК,95.71,"63,017","6,031,319",,,,,,,на ЖК
М-ГП2-А-106,ГП2,16,1,1СТЛ,30.45,"74,462","2,267,373",,,,,,,окна в окна
М-ГП2-А-107,ГП2,16,2,СКЛ12,54.86,"61,090","3,351,423","3,301,423","50,000",Лиана,6/26/2022,6/12/2022,14,окна в окна
М-ГП2-А-108,ГП2,16,1,1ЛКС,38.21,"97,308","3,718,158",,,,,,,на дорогу
М-ГП2-А-109,ГП2,17,2,12ЛКС,55.33,"91,636","5,070,203","5,070,203",,Иван,7/4/2022,5/31/2022,34,на дорогу
М-ГП2-А-110,ГП2,17,2,ТС1ЛК2,59.86,"73,309","4,388,250",,,,,,,окна в окна
М-ГП2-А-111,ГП2,17,1,СКЛ1,35.97,"84,649","3,044,810",,,,,,,окна в окна
М-ГП2-А-112,ГП2,17,3,ТСС123ЛК,95.71,"69,318","6,634,451",,,,,,,на ЖК
М-ГП2-А-113,ГП2,17,1,1СТЛ,30.45,"81,908","2,494,110",,,,,,,окна в окна
М-ГП2-А-114,ГП2,17,2,СКЛ12,54.86,"67,200","3,686,565",,,,,,,окна в окна
М-ГП2-А-115,ГП2,17,1,1ЛКС,38.21,"107,039","4,089,973","3,939,973","150,000",Филипп,6/3/2022,5/31/2022,3,на дорогу
М-ГП3-А-001,ГП3,1,2,12ЛКС,55.33,"28,611","1,583,047","1,583,047",,Иван,7/29/2022,7/28/2022,1,на дорогу
М-ГП3-А-002,ГП3,2,2,12ЛКС,55.33,"35,142","1,944,407",,,,,,,на дорогу
М-ГП3-А-003,ГП3,2,2,ТС1ЛК2,59.86,"28,114","1,682,880",,,,,,,окна в окна
М-ГП3-А-004,ГП3,2,1,СКЛ1,35.97,"35,414","1,273,827",,,,,,,окна в окна
М-ГП3-А-005,ГП3,2,3,ТСС123ЛК,95.71,"29,000","2,775,590",,,,,,,на ЖК
М-ГП3-А-006,ГП3,2,1,1СТЛ,30.45,"42,834","1,304,295","1,104,295","200,000",Филипп,6/21/2022,6/4/2022,17,на лес
М-ГП3-А-007,ГП3,2,2,СКЛ12,54.86,"35,142","1,927,890",,,,,,,на лес
М-ГП3-А-008,ГП3,2,1,1ЛКС,38.21,"44,781","1,711,082",,,,,,,на дорогу
М-ГП3-А-009,ГП3,3,2,12ЛКС,55.33,"36,899","2,041,627",,,,,,,на дорогу
М-ГП3-А-010,ГП3,3,2,ТС1ЛК2,59.86,"29,519","1,767,024","1,767,024",,Миша,7/17/2022,6/19/2022,28,окна в окна
М-ГП3-А-011,ГП3,3,1,СКЛ1,35.97,"37,184","1,337,519",,,,,,,окна в окна
М-ГП3-А-012,ГП3,3,3,ТСС123ЛК,95.71,"30,450","2,914,370","2,914,370",,Саша,7/31/2022,6/26/2022,35,на ЖК
М-ГП3-А-013,ГП3,3,1,1СТЛ,30.45,"44,976","1,369,510",,,,,,,на лес
М-ГП3-А-014,ГП3,3,2,СКЛ12,54.86,"36,899","2,024,285",,,,,,,на лес
М-ГП3-А-015,ГП3,3,1,1ЛКС,38.21,"47,020","1,796,636","1,796,636",,Саша,6/19/2022,5/29/2022,21,на дорогу
М-ГП3-А-016,ГП3,4,2,12ЛКС,55.33,"38,744","2,143,709","1,993,709","150,000",Иван,6/13/2022,6/10/2022,3,на дорогу
М-ГП3-А-017,ГП3,4,2,ТС1ЛК2,59.86,"30,995","1,855,375","1,805,375","50,000",Лиана,7/11/2022,6/24/2022,17,окна в окна
М-ГП3-А-018,ГП3,4,1,СКЛ1,35.97,"39,043","1,404,394",,,,,,,окна в окна
М-ГП3-А-019,ГП3,4,3,ТСС123ЛК,95.71,"31,973","3,060,088","3,060,088",,Миша,7/11/2022,7/3/2022,8,на ЖК
М-ГП3-А-020,ГП3,4,1,1СТЛ,30.45,"47,224","1,437,986","1,437,986",,Филипп,6/15/2022,5/19/2022,27,на лес
М-ГП3-А-021,ГП3,4,2,СКЛ12,54.86,"38,744","2,125,499",,,,,,,на лес
М-ГП3-А-022,ГП3,4,1,1ЛКС,38.21,"49,371","1,886,468","1,886,468",,Лиана,6/5/2022,5/27/2022,9,на дорогу
М-ГП3-А-023,ГП3,5,2,12ЛКС,55.33,"40,681","2,250,894","2,250,894",,Филипп,6/30/2022,5/26/2022,35,на дорогу
М-ГП3-А-024,ГП3,5,2,ТС1ЛК2,59.86,"32,545","1,948,144",,,,,,,окна в окна
М-ГП3-А-025,ГП3,5,1,СКЛ1,35.97,"40,996","1,474,614","1,474,614",,Филипп,8/8/2022,7/17/2022,22,окна в окна
М-ГП3-А-026,ГП3,5,3,ТСС123ЛК,95.71,"33,571","3,213,092",,,,,,,на ЖК
М-ГП3-А-027,ГП3,5,1,1СТЛ,30.45,"49,586","1,509,885",,,,,,,на лес
М-ГП3-А-028,ГП3,5,2,СКЛ12,54.86,"40,681","2,231,774","2,231,774",,Миша,7/21/2022,6/11/2022,40,на лес
М-ГП3-А-029,ГП3,5,1,1ЛКС,38.21,"51,840","1,980,791",,,,,,,на дорогу
М-ГП3-А-030,ГП3,6,2,12ЛКС,55.33,"42,715","2,363,439",,,,,,,на дорогу
М-ГП3-А-031,ГП3,6,2,ТС1ЛК2,59.86,"34,172","2,045,551",,,,,,,окна в окна
М-ГП3-А-032,ГП3,6,1,СКЛ1,35.97,"43,045","1,548,345",,,,,,,окна в окна
М-ГП3-А-033,ГП3,6,3,ТСС123ЛК,95.71,"35,250","3,373,747","3,373,747",,Саша,8/3/2022,6/25/2022,39,на ЖК
М-ГП3-А-034,ГП3,6,1,1СТЛ,30.45,"52,065","1,585,379","1,585,379",,Иван,6/2/2022,5/25/2022,8,на лес
М-ГП3-А-035,ГП3,6,2,СКЛ12,54.86,"42,715","2,343,362",,,,,,,на лес
М-ГП3-А-036,ГП3,6,1,1ЛКС,38.21,"54,432","2,079,831","2,029,831","50,000",Лиана,6/16/2022,6/3/2022,13,на дорогу
М-ГП3-А-037,ГП3,7,2,12ЛКС,55.33,"44,851","2,481,611","2,481,611",,Саша,7/5/2022,5/30/2022,36,на дорогу
М-ГП3-А-038,ГП3,7,2,ТС1ЛК2,59.86,"35,881","2,147,829",,,,,,,окна в окна
М-ГП3-А-039,ГП3,7,1,СКЛ1,35.97,"45,198","1,625,762",,,,,,,окна в окна
М-ГП3-А-040,ГП3,7,3,ТСС123ЛК,95.71,"37,012","3,542,434",,,,,,,на ЖК
М-ГП3-А-041,ГП3,7,1,1СТЛ,30.45,"54,668","1,664,648","1,664,648",,Иван,6/2/2022,5/16/2022,17,на лес
М-ГП3-А-042,ГП3,7,2,СКЛ12,54.86,"44,851","2,460,531",,,,,,,на лес
М-ГП3-А-043,ГП3,7,1,1ЛКС,38.21,"57,153","2,183,822","2,183,822",,Иван,6/3/2022,5/25/2022,9,на дорогу
М-ГП3-А-044,ГП3,8,2,12ЛКС,55.33,"47,094","2,605,691",,,,,,,на дорогу
М-ГП3-А-045,ГП3,8,2,ТС1ЛК2,59.86,"37,675","2,255,220","2,255,220",,Саша,7/19/2022,6/21/2022,28,окна в окна
М-ГП3-А-046,ГП3,8,1,СКЛ1,35.97,"47,458","1,707,050","1,707,050",,Лиана,8/9/2022,7/21/2022,19,окна в окна
М-ГП3-А-047,ГП3,8,3,ТСС123ЛК,95.71,"38,863","3,719,556","3,719,556",,Филипп,8/3/2022,6/22/2022,42,на ЖК
М-ГП3-А-048,ГП3,8,1,1СТЛ,30.45,"57,402","1,747,880",,,,,,,на лес
М-ГП3-А-049,ГП3,8,2,СКЛ12,54.86,"47,094","2,583,557","2,583,557",,Миша,7/17/2022,6/8/2022,39,на лес
М-ГП3-А-050,ГП3,8,1,1ЛКС,38.21,"60,011","2,293,014","2,293,014",,Саша,7/6/2022,5/28/2022,39,на дорогу
М-ГП3-А-051,ГП3,9,2,12ЛКС,55.33,"49,448","2,735,976",,,,,,,на дорогу
М-ГП3-А-052,ГП3,9,2,ТС1ЛК2,59.86,"39,559","2,367,981","2,367,981",,Иван,7/8/2022,6/17/2022,21,окна в окна
М-ГП3-А-053,ГП3,9,1,СКЛ1,35.97,"49,830","1,792,403",,,,,,,окна в окна
М-ГП3-А-054,ГП3,9,3,ТСС123ЛК,95.71,"40,806","3,905,534",,,,,,,на ЖК
М-ГП3-А-055,ГП3,9,1,1СТЛ,30.45,"60,272","1,835,274",,,,,,,на лес
М-ГП3-А-056,ГП3,9,2,СКЛ12,54.86,"49,448","2,712,735","2,662,735","50,000",Лиана,6/24/2022,6/10/2022,14,на лес
М-ГП3-А-057,ГП3,9,1,1ЛКС,38.21,"63,011","2,407,664",,,,,,,на дорогу
М-ГП3-А-058,ГП3,10,2,12ЛКС,55.33,"51,921","2,872,775","2,872,775",,Филипп,7/1/2022,6/6/2022,25,на дорогу
М-ГП3-А-059,ГП3,10,2,ТС1ЛК2,59.86,"41,537","2,486,380",,,,,,,окна в окна
М-ГП3-А-060,ГП3,10,1,СКЛ1,35.97,"52,322","1,882,023","1,882,023",,Саша,8/11/2022,7/12/2022,30,окна в окна
М-ГП3-А-061,ГП3,10,3,ТСС123ЛК,95.71,"42,846","4,100,811","4,100,811",,Миша,7/11/2022,7/7/2022,4,на ЖК
М-ГП3-А-062,ГП3,10,1,1СТЛ,30.45,"63,285","1,927,038","1,927,038",,Иван,6/2/2022,5/29/2022,4,на лес
М-ГП3-А-063,ГП3,10,2,СКЛ12,54.86,"51,921","2,848,372",,,,,,,на лес
М-ГП3-А-064,ГП3,10,1,1ЛКС,38.21,"66,162","2,528,047","2,528,047",,Филипп,7/12/2022,5/23/2022,50,на дорогу
М-ГП3-А-065,ГП3,11,2,12ЛКС,55.33,"54,517","3,016,413","2,866,413","150,000",Миша,7/21/2022,5/30/2022,52,на дорогу
М-ГП3-А-066,ГП3,11,2,ТС1ЛК2,59.86,"43,613","2,610,699",,,,,,,окна в окна
М-ГП3-А-067,ГП3,11,1,СКЛ1,35.97,"54,938","1,976,124",,,,,,,окна в окна
М-ГП3-А-068,ГП3,11,3,ТСС123ЛК,95.71,"44,989","4,305,851","4,155,851","150,000",Филипп,7/11/2022,6/21/2022,20,на ЖК
М-ГП3-А-069,ГП3,11,1,1СТЛ,30.45,"66,450","2,023,390",,,,,,,на лес
М-ГП3-А-070,ГП3,11,2,СКЛ12,54.86,"54,517","2,990,790","2,990,790",,Саша,6/24/2022,6/11/2022,13,на лес
М-ГП3-А-071,ГП3,11,1,1ЛКС,38.21,"69,470","2,654,450","2,654,450",,Иван,7/7/2022,5/20/2022,48,на дорогу
М-ГП3-А-072,ГП3,12,2,12ЛКС,55.33,"57,243","3,167,234","3,017,234","150,000",Миша,7/17/2022,6/3/2022,44,на дорогу
М-ГП3-А-073,ГП3,12,2,ТС1ЛК2,59.86,"45,794","2,741,234","2,741,234",,Иван,7/8/2022,6/24/2022,14,окна в окна
М-ГП3-А-074,ГП3,12,1,СКЛ1,35.97,"57,685","2,074,930",,,,,,,окна в окна
М-ГП3-А-075,ГП3,12,3,ТСС123ЛК,95.71,"47,238","4,521,144",,,,,,,на ЖК
М-ГП3-А-076,ГП3,12,1,1СТЛ,30.45,"69,772","2,124,560",,,,,,,на лес
М-ГП3-А-077,ГП3,12,2,СКЛ12,54.86,"57,243","3,140,330","2,940,330","200,000",Филипп,6/24/2022,6/9/2022,15,на лес
М-ГП3-А-078,ГП3,12,1,1ЛКС,38.21,"72,944","2,787,172",,,,,,,на дорогу
М-ГП3-А-079,ГП3,13,2,12ЛКС,55.33,"60,105","3,325,596",,,,,,,на дорогу
М-ГП3-А-080,ГП3,13,2,ТС1ЛК2,59.86,"48,084","2,878,296",,,,,,,окна в окна
М-ГП3-А-081,ГП3,13,1,СКЛ1,35.97,"60,569","2,178,677","2,178,677",,Лиана,8/12/2022,7/26/2022,17,окна в окна
М-ГП3-А-082,ГП3,13,3,ТСС123ЛК,95.71,"49,600","4,747,201",,,,,,,на ЖК
М-ГП3-А-083,ГП3,13,1,1СТЛ,30.45,"73,261","2,230,788",,,,,,,на лес
М-ГП3-А-084,ГП3,13,2,СКЛ12,54.86,"60,105","3,297,346",,,,,,,на лес
М-ГП3-А-085,ГП3,13,1,1ЛКС,38.21,"76,591","2,926,531",,,,,,,на дорогу
М-ГП3-А-086,ГП3,14,2,12ЛКС,55.33,"63,110","3,491,875","3,491,875",,Саша,6/30/2022,6/1/2022,29,на дорогу
М-ГП3-А-087,ГП3,14,2,ТС1ЛК2,59.86,"50,488","3,022,211",,,,,,,окна в окна
М-ГП3-А-088,ГП3,14,1,СКЛ1,35.97,"63,598","2,287,611",,,,,,,окна в окна
М-ГП3-А-089,ГП3,14,3,ТСС123ЛК,95.71,"52,080","4,984,561",,,,,,,на ЖК
М-ГП3-А-090,ГП3,14,1,1СТЛ,30.45,"76,924","2,342,327",,,,,,,на лес
М-ГП3-А-091,ГП3,14,2,СКЛ12,54.86,"63,110","3,462,214","3,312,214","150,000",Миша,7/22/2022,6/19/2022,33,на лес
М-ГП3-А-092,ГП3,14,1,1ЛКС,38.21,"80,420","3,072,857","3,022,857","50,000",Саша,6/5/2022,5/27/2022,9,на дорогу
М-ГП3-А-093,ГП3,15,2,12ЛКС,55.33,"75,732","4,190,250","4,190,250",,Иван,6/28/2022,6/7/2022,21,на дорогу
М-ГП3-А-094,ГП3,15,2,ТС1ЛК2,59.86,"60,586","3,626,653","3,576,653","50,000",Лиана,7/13/2022,6/26/2022,17,окна в окна
М-ГП3-А-095,ГП3,15,1,СКЛ1,35.97,"69,958","2,516,372",,,,,,,окна в окна
М-ГП3-А-096,ГП3,15,3,ТСС123ЛК,95.71,"57,288","5,483,017","5,483,017",,Филипп,7/11/2022,6/26/2022,15,на ЖК
М-ГП3-А-097,ГП3,15,1,1СТЛ,30.45,"84,616","2,576,560","2,526,560","50,000",Лиана,6/19/2022,5/30/2022,20,на лес
М-ГП3-А-098,ГП3,15,2,СКЛ12,54.86,"69,421","3,808,435",,,,,,,на лес
М-ГП3-А-099,ГП3,15,1,1ЛКС,38.21,"88,462","3,380,143",,,,,,,на дорогу
М-ГП3-А-100,ГП3,16,2,12ЛКС,55.33,"83,305","4,609,275","4,609,275",,Саша,7/6/2022,6/9/2022,27,на дорогу
М-ГП3-А-101,ГП3,16,2,ТС1ЛК2,59.86,"66,644","3,989,318","3,989,318",,Иван,7/8/2022,7/3/2022,5,окна в окна
М-ГП3-А-102,ГП3,16,1,СКЛ1,35.97,"76,953","2,768,009","2,768,009",,Филипп,8/23/2022,7/26/2022,28,окна в окна
М-ГП3-А-103,ГП3,16,3,ТСС123ЛК,95.71,"63,017","6,031,319",,,,,,,на ЖК
М-ГП3-А-104,ГП3,16,1,1СТЛ,30.45,"93,078","2,834,216","2,834,216",,Миша,6/29/2022,5/24/2022,36,на лес
М-ГП3-А-105,ГП3,16,2,СКЛ12,54.86,"76,363","4,189,279","4,189,279",,Саша,6/29/2022,6/17/2022,12,на лес
М-ГП3-А-106,ГП3,16,1,1ЛКС,38.21,"97,308","3,718,158",,,,,,,на дорогу
М-ГП3-А-107,ГП3,17,2,12ЛКС,55.33,"91,636","5,070,203","5,070,203",,Лиана,6/13/2022,6/3/2022,10,на дорогу
М-ГП3-А-108,ГП3,17,2,ТС1ЛК2,59.86,"73,309","4,388,250","4,138,250",250000,Филипп,8/1/2022,6/27/2022,35,окна в окна
М-ГП3-А-109,ГП3,17,1,СКЛ1,35.97,"84,649","3,044,810",,,,,,,окна в окна
М-ГП3-А-110,ГП3,17,3,ТСС123ЛК,95.71,"69,318","6,634,451","6,634,451",,Иван,6/25/2022,6/25/2022,0,на ЖК
М-ГП3-А-111,ГП3,17,1,1СТЛ,30.45,"102,385","3,117,637",,,,,,,на лес
М-ГП3-А-112,ГП3,17,2,СКЛ12,54.86,"83,999","4,608,206","4,608,206",,Саша,6/24/2022,6/8/2022,16,на лес
М-ГП3-А-113,ГП3,17,1,1ЛКС,38.21,"107,039","4,089,973","4,039,973","50,000",Лиана,6/14/2022,5/27/2022,18,на дорогу
М-ГП4-А-001,ГП4,1,2,С1КЛ2Т,62.81,"39,111","2,456,562","2,456,562",,Миша,8/7/2022,8/4/2022,3,во двор
М-ГП4-А-002,ГП4,1,1,СКЛ1Т,46.32,"42,891","1,986,711",,,,,,,на реку
М-ГП4-А-003,ГП4,1,2,1КЛ2СТ,61.09,"35,221","2,151,651",,,,,,,на реку
М-ГП4-А-004,ГП4,1,1,ТЛК1С,49.22,"41,331","2,034,312","2,034,312",,Миша,8/21/2022,7/31/2022,21,на лес
М-ГП4-А-005,ГП4,2,2,С1КЛ2Т,62.81,"36,260","2,277,516","2,277,516",,Лиана,8/23/2022,8/16/2022,7,во двор
М-ГП4-А-006,ГП4,2,1,СКЛ1Т,46.32,"48,361","2,240,082",,,,,,,на реку
М-ГП4-А-007,ГП4,2,2,1КЛ2СТ,61.09,"38,138","2,329,857",,,,,,,на реку
М-ГП4-А-008,ГП4,2,1,ТЛК1С,49.22,"38,255","1,882,899",,,,,,,на лес
М-ГП4-А-009,ГП4,3,2,С1КЛ2Т,62.81,"42,080","2,643,059","2,643,059",,Иван,6/27/2022,6/2/2022,25,во двор
М-ГП4-А-010,ГП4,3,1,СКЛ1Т,46.32,"35,802","1,658,335",,,,,,,на реку
М-ГП4-А-011,ГП4,3,2,1КЛ2СТ,61.09,"58,650","3,582,917",,,,,,,на реку
М-ГП4-А-012,ГП4,3,1,ТЛК1С,49.22,"39,382","1,938,376",,,,,,,на лес
М-ГП4-А-013,ГП4,4,2,С1КЛ2Т,62.81,"71,128","4,467,522",,,,,,,во двор
М-ГП4-А-014,ГП4,4,1,СКЛ1Т,46.32,"47,760","2,212,260",,,,,,,на реку
М-ГП4-А-015,ГП4,4,2,1КЛ2СТ,61.09,"43,996","2,687,707","2,637,707","50,000",Лиана,8/3/2022,8/2/2022,1,на реку
М-ГП4-А-016,ГП4,4,1,ТЛК1С,49.22,"56,264","2,769,297",,,,,,,на лес
М-ГП4-А-017,ГП4,5,2,С1КЛ2Т,62.81,"86,260","5,417,987",,,,,,,во двор
М-ГП4-А-018,ГП4,5,1,СКЛ1Т,46.32,"57,921","2,682,918",,,,,,,на реку
М-ГП4-А-019,ГП4,5,2,1КЛ2СТ,61.09,"68,234","4,168,400",,,,,,,на реку
М-ГП4-А-020,ГП4,5,1,ТЛК1С,49.22,"58,825","2,895,365",,,,,,,на лес
М-ГП4-А-021,ГП4,6,2,С1КЛ2Т,62.81,"71,340","4,480,864",,,,,,,во двор
М-ГП4-А-022,ГП4,6,1,СКЛ1Т,46.32,"109,842","5,087,897",,,,,,,на реку
М-ГП4-А-023,ГП4,6,2,1КЛ2СТ,61.09,"86,691","5,295,952","5,145,952","150,000",Филипп,8/7/2022,7/28/2022,10,на реку
М-ГП4-А-024,ГП4,6,1,ТЛК1С,49.22,"75,057","3,694,312","3,694,312",,Иван,6/5/2022,5/30/2022,6,на лес
М-ГП4-А-025,ГП4,7,2,С1КЛ2Т,62.81,"100,128","6,289,045",,,,,,,во двор
М-ГП4-А-026,ГП4,7,1,СКЛ1Т,46.32,"90,245","4,180,151","4,180,151",,Саша,8/18/2022,7/31/2022,18,на реку
М-ГП4-А-027,ГП4,7,2,1КЛ2СТ,61.09,"138,951","8,488,489","8,388,489",100000,Иван,6/24/2022,6/6/2022,18,на реку
М-ГП4-А-028,ГП4,7,1,ТЛК1С,49.22,"81,316","4,002,393",,,,,,,на лес
М-ГП4-А-029,ГП4,8,2,С1КЛ2Т,62.81,"114,656","7,201,566","7,201,566",,Саша,8/8/2022,8/5/2022,3,во двор
М-ГП4-А-030,ГП4,8,1,СКЛ1Т,46.32,"176,938","8,195,763","8,095,763","100,000",Саша,8/22/2022,8/13/2022,9,на реку
М-ГП4-А-031,ГП4,8,2,1КЛ2СТ,61.09,"139,645","8,530,906","8,380,906","150,000",Филипп,8/2/2022,7/31/2022,2,на реку
М-ГП4-А-032,ГП4,8,1,ТЛК1С,49.22,"104,233","5,130,351","5,080,351","50,000",Лиана,8/16/2022,7/29/2022,18,на лес
М-ГП4-А-033,ГП4,9,2,С1КЛ2Т,62.81,"194,316","12,204,980","12,004,980","200,000",Филипп,8/25/2022,7/29/2022,27,во двор
М-ГП4-А-034,ГП4,9,1,СКЛ1Т,46.32,"153,609","7,115,186","7,115,186",,Иван,6/26/2022,6/6/2022,20,на реку
М-ГП4-А-035,ГП4,9,2,1КЛ2СТ,61.09,"132,428","8,090,032","8,090,032",,Иван,7/5/2022,6/28/2022,7,на реку
М-ГП4-А-036,ГП4,9,1,ТЛК1С,49.22,"194,632","9,579,772","9,579,772",,Иван,7/8/2022,6/27/2022,11,на лес
М-ГП4-А-037,ГП4,10,2,С1КЛ2Т,62.81,"270,391","16,983,229","16,783,229","200,000",Филипп,8/3/2022,7/20/2022,14,во двор
М-ГП4-А-038,ГП4,10,1,СКЛ1Т,46.32,"192,650","8,923,537","8,923,537",,Лиана,8/17/2022,7/25/2022,23,на реку
М-ГП4-А-039,ГП4,10,2,1КЛ2СТ,61.09,"271,446","16,582,606","16,582,606",,Саша,8/2/2022,7/23/2022,10,на реку
М-ГП4-А-040,ГП4,10,1,ТЛК1С,49.22,"213,747","10,520,650","10,520,650",,Иван,6/28/2022,6/7/2022,21,на лес
М-ГП4-Б-041,ГП4,1,1,С1ЛКТ,47.81,"41,871","2,001,853",,,,,,,во двор
М-ГП4-Б-042,ГП4,1,3,С1Л23СКЛ,94.15,"32,964","3,103,561","3,053,561","50,000",Саша,8/22/2022,8/18/2022,4,на лес
М-ГП4-Б-043,ГП4,1,2,Т1ЛК2,63.12,"38,854","2,452,464","2,452,464",,Миша,8/21/2022,8/10/2022,11,на лес
М-ГП4-Б-044,ГП4,1,1,СЛ1К,42.34,"40,095","1,697,622",,,,,,,на лес
М-ГП4-Б-045,ГП4,2,1,С1ЛКТ,47.81,"43,965","2,101,945","2,051,945","50,000",Лиана,8/10/2022,7/25/2022,16,во двор
М-ГП4-Б-046,ГП4,2,3,С1Л23СКЛ,94.15,"34,550","3,252,906","3,202,906",50000,Иван,6/27/2022,5/28/2022,30,на лес
М-ГП4-Б-047,ГП4,2,2,Т1ЛК2,63.12,"50,779","3,205,174",,,,,,,на лес
М-ГП4-Б-048,ГП4,2,1,СЛ1К,42.34,"34,777","1,472,460","1,472,460",,Филипп,8/25/2022,8/1/2022,24,на лес
М-ГП4-Б-049,ГП4,3,1,С1ЛКТ,47.81,"36,278","1,734,440","1,734,440",,Иван,7/7/2022,7/7/2022,0,во двор
М-ГП4-Б-050,ГП4,3,3,С1Л23СКЛ,94.15,"44,184","4,159,946","4,159,946",,Саша,8/7/2022,7/28/2022,10,на лес
М-ГП4-Б-051,ГП4,3,2,Т1ЛК2,63.12,"53,318","3,365,433","3,115,433","250,000",Миша,8/18/2022,7/31/2022,18,на лес
М-ГП4-Б-052,ГП4,3,1,СЛ1К,42.34,"46,393","1,964,299",,,,,,,на лес
М-ГП4-Б-053,ГП4,4,1,С1ЛКТ,47.81,"48,505","2,319,045",,,,,,,во двор
М-ГП4-Б-054,ГП4,4,3,С1Л23СКЛ,94.15,"51,149","4,815,658","4,615,658","200,000",Филипп,8/8/2022,8/6/2022,2,на лес
М-ГП4-Б-055,ГП4,4,2,Т1ЛК2,63.12,"43,419","2,740,576","2,740,576",,Филипп,8/21/2022,8/14/2022,7,на лес
М-ГП4-Б-056,ГП4,4,1,СЛ1К,42.34,"64,661","2,737,764","2,737,764",,Миша,8/9/2022,7/29/2022,11,на лес
М-ГП4-Б-057,ГП4,5,1,С1ЛКТ,47.81,"90,573","4,330,292",,,,,,,во двор
М-ГП4-Б-058,ГП4,5,3,С1Л23СКЛ,94.15,"60,817","5,725,963","5,725,963",,Филипп,8/8/2022,7/20/2022,19,на лес
М-ГП4-Б-059,ГП4,5,2,Т1ЛК2,63.12,"52,656","3,323,634","3,323,634",,Саша,8/19/2022,8/5/2022,14,на лес
М-ГП4-Б-060,ГП4,5,1,СЛ1К,42.34,"50,931","2,156,406","2,156,406",,Миша,8/22/2022,8/11/2022,11,на лес
М-ГП4-Б-061,ГП4,6,1,С1ЛКТ,47.81,"78,810","3,767,906","3,767,906",,Миша,8/22/2022,8/7/2022,15,во двор
М-ГП4-Б-062,ГП4,6,3,С1Л23СКЛ,94.15,"99,857","9,401,505","9,401,505",,Саша,8/8/2022,8/2/2022,6,на лес
М-ГП4-Б-063,ГП4,6,2,Т1ЛК2,63.12,"63,858","4,030,737","3,980,737","50,000",Лиана,7/14/2022,6/20/2022,24,на лес
М-ГП4-Б-064,ГП4,6,1,СЛ1К,42.34,"61,766","2,615,181","2,515,181",100000,Иван,6/28/2022,5/30/2022,29,на лес
М-ГП4-Б-065,ГП4,7,1,С1ЛКТ,47.81,"105,134","5,026,480",,,,,,,во двор
М-ГП4-Б-066,ГП4,7,3,С1Л23СКЛ,94.15,"94,757","8,921,402","8,721,402","200,000",Филипп,8/9/2022,7/23/2022,17,на лес
М-ГП4-Б-067,ГП4,7,2,Т1ЛК2,63.12,"73,924","4,666,082","4,516,082","150,000",Филипп,8/5/2022,7/26/2022,10,на лес
М-ГП4-Б-068,ГП4,7,1,СЛ1К,42.34,"145,898","6,177,325",,,,,,,на лес
М-ГП4-Б-069,ГП4,8,1,С1ЛКТ,47.81,"153,193","7,324,157","7,324,157",,Лиана,6/6/2022,6/3/2022,3,во двор
